string
20201019m3.5_degreeper_secondprocessedoffset angle -0.08118355386434516 in rad by: offset_angle in degree:_-2.72offset 0th. order in px_-110
nm eV  counts
-8.109440623298132e-09 -152.88871177259415 131.19905340608466
-8.101660681200421e-09 -153.03552924271415 212.37540216462745
-8.093880733724717e-09 -153.18262906029162 267.7915736607143
-8.086100780875704e-09 -153.33001204050325 239.30587849289023
-8.078320822658064e-09 -153.4776790016667 222.6108729986497
-8.070540859076477e-09 -153.62563076525595 221.80476974137457
-8.062760890135629e-09 -153.7738681559163 225.64766589506175
-8.054980915840193e-09 -153.92239200147998 212.125160176918
-8.047200936194855e-09 -154.07120313298125 214.20707473889442
-8.039420951204288e-09 -154.2203023846722 205.9421718267747
-8.031640960873173e-09 -154.36969059403808 202.25960329516647
-8.023860965206183e-09 -154.51936860181314 205.34979710923722
-8.016080964207994e-09 -154.66933725199635 210.98036024305557
-8.008300957883281e-09 -154.81959739186723 211.24898812968476
-8.000520946236719e-09 -154.97014987200185 209.09116391782408
-7.992740929272977e-09 -155.1209955462889 217.03237166900905
-7.98496090699673e-09 -155.2721352719457 227.47719201251104
-7.977180879412643e-09 -155.4235699095347 238.4057014371142
-7.969400846525391e-09 -155.57530032297944 239.83615881972003
-7.961620808339642e-09 -155.72732737958134 236.4212192219191
-7.953840764860062e-09 -155.87965195003596 245.84895919449957
-7.946060716091316e-09 -156.03227490844986 241.34818156139772
-7.938280662038074e-09 -156.18519713235705 243.63242282228288
-7.930500602705e-09 -156.33841950273595 238.90596581514552
-7.922720538096755e-09 -156.49194290402636 240.6668440669092
-7.914940468218003e-09 -156.64576822414645 222.78355620315259
-7.907160393073409e-09 -156.79989635450966 221.3768454792218
-7.899380312667631e-09 -156.9543281900423 219.99802362351193
-7.89160022700533e-09 -157.1090646292006 219.57653227306548
-7.883820136091164e-09 -157.26410657398813 218.683563178599
-7.876040039929793e-09 -157.41945492997345 212.06750725101963
-7.868259938525876e-09 -157.57511060630767 220.39129240382496
-7.860479831884063e-09 -157.73107451574225 227.81804591049385
-7.852699720009017e-09 -157.8873475746467 210.73807112544094
-7.844919602905387e-09 -158.04393070302666 218.5534624910439
-7.83713948057783e-09 -158.20082482454188 218.7410933883102
-7.829359353030995e-09 -158.35803086652447 219.23352761243387
