string
20201022_m3.4_degreeper_secondprocessedoffset angle -0.07605956110903464 in rad by: offset_angle in degree:_-2.7offset 0th. order in px_-171
nm eV  counts
-7.598624750442569e-09 -163.1666216995624 305.8210785073578
-7.591582916480914e-09 -163.31797251410703 459.79672257357805
-7.584541084466849e-09 -163.4696043286775 566.7037450396825
-7.577499254396712e-09 -163.62151792664284 576.5220294932209
-7.570457426266849e-09 -163.77371409428645 579.150863405258
-7.563415600073597e-09 -163.92619362081993 581.2157557250331
-7.556373775813295e-09 -164.07895729839672 577.325283151455
-7.549331953482281e-09 -164.23200592212567 590.9554889012896
-7.542290133076897e-09 -164.38534029008477 585.870372953869
-7.535248314593478e-09 -164.53896120333533 590.5984674685847
-7.528206498028363e-09 -164.69286946593573 597.6206003017527
-7.521164683377886e-09 -164.84706588495544 594.6251085069445
-7.514122870638384e-09 -165.00155127048916 591.0343424479166
-7.507081059806194e-09 -165.15632643567096 595.856781167328
-7.500039250877651e-09 -165.31139219668864 598.796779410549
-7.49299744384909e-09 -165.46674937279815 602.2000196345899
-7.485955638716843e-09 -165.62239878633773 606.4094147858797
-7.478913835477243e-09 -165.7783412627427 609.3049975198413
-7.471872034126628e-09 -165.9345776305599 612.1854719535384
-7.464830234661326e-09 -166.09110872146246 614.4325112640543
-7.457788437077671e-09 -166.24793537026449 617.460216703869
-7.450746641371995e-09 -166.40505841493592 618.5894019717261
-7.443704847540625e-09 -166.5624786966176 624.475978629299
-7.436663055579893e-09 -166.72019705963598 622.5161882027116
-7.429621265486133e-09 -166.8782143515184 620.5238327752976
-7.422579477255672e-09 -167.0365314230084 618.6629877645503
-7.415537690884836e-09 -167.19514912808083 617.9447544642857
-7.4084959063699576e-09 -167.3540683239571 616.1645817832341
-7.401454123707361e-09 -167.51328987112092 619.9207847635582
-7.394412342893374e-09 -167.67281463333356 619.092365244709
-7.387370563924327e-09 -167.83264347764955 613.3900101273148
-7.380328786796542e-09 -167.99277727443254 608.6797598379629
-7.373287011506346e-09 -168.15321689737092 602.3975100239749
-7.366245238050063e-09 -168.31396322349377 600.8079246238426
-7.35920346642402e-09 -168.47501713318678 594.0236751818783
-7.3521616966245395e-09 -168.6363795102085 596.0139586433531
-7.345119928647945e-09 -168.79805124170636 594.1610475570436
-7.338078162490561e-09 -168.96003321823287 599.7459439070767
-7.331036398148707e-09 -169.1223263337622 597.7061838624338
-7.323994635618709e-09 -169.2849314857064 584.7209046378969
-7.316952874896884e-09 -169.44784957493212 585.6084681919643
-7.309911115979557e-09 -169.61108150577704 581.7982959242725
-7.302869358863045e-09 -169.77462818606693 581.2447038277116
-7.295827603543669e-09 -169.93849052713205 583.563644489914
-7.288785850017749e-09 -170.10266944382448 591.1406895874669
-7.281744098281605e-09 -170.26716585453485 585.097664000496
-7.274702348331552e-09 -170.43198068120978 588.4916604662699
-7.267660600163908e-09 -170.59711484936875 591.2562727347884
-7.260618853774992e-09 -170.76256928812163 588.8750671709656
-7.25357710916112e-09 -170.92834493018614 585.793544870205
-7.2465353663186095e-09 -171.0944427119052 584.661365327381
-7.239493625243774e-09 -171.26086357326483 580.5282195560516
-7.232451885932929e-09 -171.4276084579116 586.3516890914352
-7.225410148382388e-09 -171.59467831317065 594.8335167617395
-7.218368412588467e-09 -171.76207409006352 587.2838696676587
-7.21132667854748e-09 -171.92979674332628 572.9891880580357
-7.204284946255737e-09 -172.09784723142772 557.7325329654432
-7.197243215709552e-09 -172.26622651658752 585.0995241195436
-7.190201486905237e-09 -172.43493556479453 585.3524693080357
-7.183159759839103e-09 -172.60397534582552 585.2230463583003
-7.176118034507461e-09 -172.77334683326345 586.9195395171957
-7.169076310906622e-09 -172.94305100451643 582.8105210400132
-7.162034589032892e-09 -173.1130888408364 586.1815088665675
-7.154992868882585e-09 -173.28346132733796 585.252937437996
-7.147951150452007e-09 -173.45416945301758 580.1382843501984
-7.140909433737467e-09 -173.62521421077258 583.9163385623347
-7.133867718735273e-09 -173.79659659742046 579.1402529761905
-7.1268260054417316e-09 -173.96831761371828 582.8395828166337
-7.1197842938531465e-09 -174.1403782643822 584.3122649016203
-7.112742583965828e-09 -174.3127795581068 582.7854275173611
-7.10570087577608e-09 -174.4855225075851 584.823578042328
-7.098659169280208e-09 -174.65860812952826 590.6147590112433
-7.091617464474514e-09 -174.83203744468557 592.2261103877315
-7.084575761355304e-09 -175.00581147786446 595.6959506241733
-7.07753405991888e-09 -175.17993125795073 594.8339714575067
-7.070492360161547e-09 -175.35439781792883 605.9906709862764
-7.063450662079604e-09 -175.52921219490236 599.8175765749008
-7.056408965669355e-09 -175.7043754301145 602.0976950024801
-7.049367270927101e-09 -175.87988856896882 602.3913096271494
-7.042325577849141e-09 -176.05575266105 598.7861534804895
-7.035283886431778e-09 -176.2319687601447 608.444808717758
-7.028242196671309e-09 -176.40853792426276 601.1007228629298
-7.021200508564033e-09 -176.58546121565828 609.1869729662699
-7.014158822106251e-09 -176.76273970085094 607.5808686755952
-7.007117137294258e-09 -176.9403744506474 608.9854006489749
-7.000075454124353e-09 -177.1183665401629 605.3679703000992
-6.993033772592834e-09 -177.29671704884294 612.6788814484127
-6.985992092695994e-09 -177.47542706048523 611.1560226521163
-6.978950414430131e-09 -177.65449766326134 607.1903599330357
-6.971908737791541e-09 -177.83392994973903 608.3353019593254
-6.9648670627765156e-09 -178.01372501690454 611.9012845155423
-6.957825389381351e-09 -178.1938839661847 612.9965691137567
-6.950783717602343e-09 -178.3744079034695 608.2988952959656
-6.943742047435783e-09 -178.55529793913485 611.3725456762567
-6.936700378877962e-09 -178.7365551880653 614.0318157862104
-6.929658711925172e-09 -178.91818076967692 619.6006866939484
-6.922617046573708e-09 -179.10017580794013 615.2971617683531
-6.915575382819857e-09 -179.2825414314034 615.0902028563162
-6.908533720659912e-09 -179.465278773216 616.7051272114749
-6.9014920600901614e-09 -179.648388971152 617.7183779761905
-6.894450401106897e-09 -179.83187316763335 625.7331710896163
-6.887408743706403e-09 -180.01573250975423 626.8030263103506
-6.880367087884972e-09 -180.19996814930442 624.0201822916666
-6.87332543363889e-09 -180.38458124279367 632.7399450231482
-6.866283780964445e-09 -180.56957295147578 631.5215954654432
-6.859242129857921e-09 -180.7549444413731 637.5866247106482
-6.8522004803156096e-09 -180.94069688330072 644.4965923652447
-6.84515883233379e-09 -181.12683145289157 647.9274631076389
-6.838117185908751e-09 -181.31334933062072 640.7779508721892
-6.831075541036775e-09 -181.50025170183076 640.1800181878307
-6.824033897714149e-09 -181.68753975675665 648.8358599950396
-6.816992255937154e-09 -181.87521469055113 647.3698665881283
-6.809950615702073e-09 -182.06327770331015 654.1324172247024
-6.802908977005189e-09 -182.25173000009826 656.9017288773148
-6.795867339842783e-09 -182.44057279097464 664.2211939897487
-6.788825704211137e-09 -182.62980729101872 660.1862599206349
-6.781784070106533e-09 -182.8194347203564 654.4521587714947
-6.774742437525248e-09 -183.00945630418644 652.5336139012896
-6.767700806463564e-09 -183.19987327280637 653.947177786045
-6.76065917691776e-09 -183.39068686163952 649.4643580522487
-6.753617548884112e-09 -183.58189831126154 654.9013155175264
-6.746575922358902e-09 -183.77350886742718 648.8104151165675
-6.739534297338405e-09 -183.96551978109764 652.0696743758267
-6.7324926738188976e-09 -184.15793230846757 659.8630900710979
-6.725451051796656e-09 -184.3507477109925 657.2126141906415
